,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
117,fru,10.0,D-Fructose,HMDB00660,C02336,439709.0,,,EX_fru_m,EX_fru(e)
118,amet,10.0,S-Adenosyl-L-methionine,HMDB01185,C00019,34756.0,,,EX_amet_m,EX_amet(e)
119,btn,7.195299999993456e-05,Biotin,HMDB00030,C00120,171548.0,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",,EX_btn_m,EX_btn(e)
120,xan,9.99231218750004,Xanthine,HMDB00292,C00385,1188.0,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",,EX_xan_m,EX_xan(e)
121,cit,10.0,Citrate,HMDB00094,C00158,311.0,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",,EX_cit_m,EX_cit(e)
122,cys_L,10.0,L-cysteine,HMDB00574,C00097,5862.0,"InChI=1S/C3H7NO2S/c4-2(1-7)3(5)6/h2,7H,1,4H2,(H,5,6)/t2-/m0/s1",,EX_cys_L_m,EX_cys_L(e)
123,orn,10.0,Ornithine,HMDB00214,C00077,6262.0,"InChI=1S/C5H12N2O2/c6-3-1-2-4(7)5(8)9/h4H,1-3,6-7H2,(H,8,9)/p+1",,EX_orn_m,EX_orn(e)
124,adn,10.0,Adenosine,HMDB00050,C00212,60961.0,,,EX_adn_m,EX_adn(e)
125,glyc,10.0,Glycerol,HMDB00131,C00116,753.0,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",,EX_glyc_m,EX_glyc(e)
126,alaleu,10.0,L-alanyl-L-leucine,,,,,,EX_alaleu_m,EX_alaleu(e)
127,gcald,0.0025550949986108025,glycolaldehyde,HMDB03344,C00266,756.0,"InChI=1S/C2H4O2/c3-1-2-4/h1,4H,2H2",,EX_gcald_m,EX_gcald(e)
128,glycys,10.0,Gly-Cys,,,,,,EX_glycys_m,EX_glycys(e)
129,malttr,10.0,maltotriose,HMDB01262,C01835,439586.0,,,EX_malttr_m,EX_malttr(e)
130,metsox_S_L,10.0,L-Methionine Sulfoxide,,,,,,EX_metsox_S_L_m,EX_metsox_S_L(e)
131,arabttr,10.0,Arabinotriose,,,,,,EX_arabttr_m,EX_arabttr(e)
132,alahis,10.0,L-alanyl-L-histidine,,C00386,,"InChI=1S/C9H14N4O3/c10-2-1-8(14)13-7(9(15)16)3-6-4-11-5-12-6/h4-5,7H,1-3,10H2,(H,11,12)(H,13,14)(H,15,16)/t7-/m0/s1",,EX_alahis_m,EX_alahis(e)
133,man,10.0,D-Mannose,HMDB00169,C00159,18950.0,,,EX_man_m,EX_man(e)
134,tre,10.0,Trehalose,HMDB00975,C01083,7427.0,,,EX_tre_m,EX_tre(e)
135,pro_L,10.0,L-proline,HMDB00162,C00148,145742.0,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",,EX_pro_L_m,EX_pro_L(e)
136,glyasn,10.000000000012845,Glycyl-L-asparagine,,,,,,EX_glyasn_m,EX_glyasn(e)
137,acgam,10.000000000000002,N-acetyl-D-glucosamine,HMDB00215,C00140,439174.0,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6+,7+,8+/m0/s1",,EX_acgam_m,EX_acgam(e)
138,asp_L,10.0,L-aspartate(1-),HMDB00191,C00049,5960.0,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1",,EX_asp_L_m,EX_asp_L(e)
139,ade,10.0,Adenine,HMDB00034,C00147,190.0,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",,EX_ade_m,EX_ade(e)
140,gsn,10.0,Guanosine,HMDB00133,C00387,6802.0,,,EX_gsn_m,EX_gsn(e)
141,lanost,0.00017150249999984372,lanosterol,HMDB01251,C01724,246983.0,,,EX_lanost_m,EX_lanost(e)
142,malt,10.000000000000002,Maltose,HMDB00163,C00208,439186.0,,,EX_malt_m,EX_malt(e)
143,mantr,10.0,"mannotriose (beta-1,4)",,,,,,EX_mantr_m,EX_mantr(e)
144,chor,9.147068023277194,chorismate,,,,,,EX_chor_m,EX_chor(e)
145,lys_L,10.0,L-lysinium(1+),HMDB00182,C00047,5962.0,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1",,EX_lys_L_m,EX_lys_L(e)
146,dextrin,10.0,Dextrin,,C00721,,,,EX_dextrin_m,EX_dextrin(e)
147,cellb,10.000000000000002,cellobiose,,,,,,EX_cellb_m,EX_cellb(e)
148,ala_D,0.07922721999578286,D-alanine,HMDB01310,C00133,71080.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",,EX_ala_D_m,EX_ala_D(e)
149,co2,0.1056515740123555,carbon dioxide,HMDB01967,C00011,280.0,InChI=1S/CO2/c2-1-3,,EX_co2_m,EX_co2(e)
150,for,10.0,Formate,HMDB00142,C00058,284.0,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",,EX_for_m,EX_for(e)
151,gal,10.0,D-Galactose,HMDB00143,C00984,439357.0,,,EX_gal_m,EX_gal(e)
152,HC00319,0.0638051253332738,Malonate,HMDB00691,C00383,867.0,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)",,EX_HC00319_m,EX_HC00319(e)
153,h,10.0,proton,HMDB01362,C00282,1038.0,InChI=1S/p+1/i/hH,,EX_h_m,EX_h(e)
154,h2s,4.983995449000015,Hydrogen sulfide,,,,,,EX_h2s_m,EX_h2s(e)
155,ac,4.667857057994947,acetate,HMDB00042,C00033,176.0,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",,EX_ac_m,EX_ac(e)
156,gly,10.0,Glycine,HMDB00123,C00037,750.0,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,EX_gly_m,EX_gly(e)
157,sucbz,0.004440469999995958,o-Succinylbenzoate,,,,,,EX_sucbz_m,EX_sucbz(e)
158,arab_D,10.0,D-Arabinose,,,,,,EX_arab_D_m,EX_arab_D(e)
159,succ,10.0,Succinate,HMDB00254,C00042,1110.0,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",,EX_succ_m,EX_succ(e)
160,glygln,10.000000000000007,Glycyl-L-glutamine,,,,,,EX_glygln_m,EX_glygln(e)
161,g6p,10.0,D-Glucose 6-phosphate,HMDB01401,C00092,5958.0,,,EX_g6p_m,EX_g6p(e)
162,akg,6.718075882285356,2-Oxoglutarate,HMDB00208,C00026,51.0,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",,EX_akg_m,EX_akg(e)
163,fum,10.0,Fumarate,HMDB00134,C00122,444972.0,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+",,EX_fum_m,EX_fum(e)
164,mnl,10.0,D-Mannitol,,,,,,EX_mnl_m,EX_mnl(e)
165,dhna,0.0007913849999992804,"1,4-Dihydroxy-2-naphthoate",,,,,,EX_dhna_m,EX_dhna(e)
166,2obut,0.0033912680000867113,2-Oxobutanoate,HMDB00005,C00109,58.0,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",,EX_2obut_m,EX_2obut(e)
167,stys,10.0,Stachyose,,,,,,EX_stys_m,EX_stys(e)
168,lactl,10.000000000000002,,,,,,,EX_lactl_m,EX_lactl(e)
