reaction,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
EX_ph2s_m,ph2s,0.0004116950000000009,Polysulfide,,,,,,EX_ph2s_m,EX_ph2s(e)
EX_acald_m,acald,0.00015052000000000002,acetaldehyde,HMDB00990,C00084,177.0,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",,EX_acald_m,EX_acald(e)
EX_no2_m,no2,0.00029721233333333266,Nitrite,HMDB02786,C00088,24529.0,"InChI=1S/HNO2/c2-1-3/h(H,2,3)/p-1",,EX_no2_m,EX_no2(e)
EX_amp_m,amp,0.001462440000000525,AMP,HMDB00045,C00020,6083.0,,,EX_amp_m,EX_amp(e)
EX_MGlcn33_m,MGlcn33,0.017959593656053374,mucin-type O-glycan No 33,,,,,,EX_MGlcn33_m,EX_MGlcn33(e)
EX_succ_m,succ,0.3121284779969396,Succinate,HMDB00254,C00042,1110.0,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",,EX_succ_m,EX_succ(e)
EX_co2_m,co2,0.004114932958241967,carbon dioxide,HMDB01967,C00011,280.0,InChI=1S/CO2/c2-1-3,,EX_co2_m,EX_co2(e)
EX_2obut_m,2obut,0.0032698399999999974,2-Oxobutanoate,HMDB00005,C00109,58.0,"InChI=1S/C4H6O3/c1-2-3(5)4(6)7/h2H2,1H3,(H,6,7)/p-1",,EX_2obut_m,EX_2obut(e)
EX_acnam_m,acnam,0.0018495200000000003,N-acetylneuraminate,HMDB00230,C19910,439197.0,,,EX_acnam_m,EX_acnam(e)
EX_h2_m,h2,0.9748854496708761,Hydrogen,HMDB01362,C00282,783.0,InChI=1S/H2/h1H,,EX_h2_m,EX_h2(e)
EX_pyr_m,pyr,0.03286145000000021,pyruvate,HMDB00243,C00022,1060.0,"InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)/p-1",,EX_pyr_m,EX_pyr(e)
EX_cmp_m,cmp,0.0008410399999999998,CMP,HMDB00095,C00055,6131.0,,,EX_cmp_m,EX_cmp(e)
EX_coa_m,coa,6.192999999999978e-05,Coenzyme A,HMDB01423,C00010,6816.0,,,EX_coa_m,EX_coa(e)
EX_datp_m,datp,8.109033333307399e-05,dATP,HMDB01532,C00131,15993.0,,,EX_datp_m,EX_datp(e)
EX_fum_m,fum,3.0965000000000006e-05,Fumarate,HMDB00134,C00122,444972.0,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+",,EX_fum_m,EX_fum(e)
EX_gtp_m,gtp,0.0013541,GTP,HMDB01273,C00044,6830.0,,,EX_gtp_m,EX_gtp(e)
EX_nadp_m,nadp,7.93970000000065e-05,Nicotinamide adenine dinucleotide phosphate,HMDB00217,C00006,5886.0,,,EX_nadp_m,EX_nadp(e)
EX_urea_m,urea,0.845487528666667,Urea,HMDB00294,C00086,1176.0,"InChI=1S/CH4N2O/c2-1(3)4/h(H4,2,3,4)",,EX_urea_m,EX_urea(e)
EX_chtbs_m,chtbs,0.00050022,"N,N-diacetylchitobiose",,,,,,EX_chtbs_m,EX_chtbs(e)
EX_arabttr_m,arabttr,0.004031458666666632,Arabinotriose,,,,,,EX_arabttr_m,EX_arabttr(e)
EX_MGlcn10_m,MGlcn10,0.0009247600000000004,mucin-type O-glycan No 10,,,,,,EX_MGlcn10_m,EX_MGlcn10(e)
EX_ins_m,ins,0.011534700000000356,Inosine,HMDB00195,C00294,6021.0,,,EX_ins_m,EX_ins(e)
EX_ala_D_m,ala_D,0.00184952,D-alanine,HMDB01310,C00133,71080.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m1/s1",,EX_ala_D_m,EX_ala_D(e)
EX_glyc_m,glyc,0.4525299423333317,Glycerol,HMDB00131,C00116,753.0,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",,EX_glyc_m,EX_glyc(e)
EX_dpcoa_m,dpcoa,0.00015879400000000222,Dephospho-CoA,HMDB01373,C00882,444485.0,,,EX_dpcoa_m,EX_dpcoa(e)
EX_indole_m,indole,0.0005515699999999999,Indole,,,,,,EX_indole_m,EX_indole(e)
