,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
124,amet,0.2900066794823619,S-Adenosyl-L-methionine,HMDB01185,C00019,34756.0,,,EX_amet_m,EX_amet(e)
125,btn,7.19530000026225e-05,Biotin,HMDB00030,C00120,171548.0,"InChI=1S/C10H16N2O3S/c13-8(14)4-2-1-3-7-9-6(5-16-7)11-10(15)12-9/h6-7,9H,1-5H2,(H,13,14)(H2,11,12,15)/p-1/t6-,7-,9-/m0/s1",,EX_btn_m,EX_btn(e)
126,fru,10.0,D-Fructose,HMDB00660,C02336,439709.0,,,EX_fru_m,EX_fru(e)
127,xan,0.04305837014260305,Xanthine,HMDB00292,C00385,1188.0,"InChI=1S/C5H4N4O2/c10-4-2-3(7-1-6-2)8-5(11)9-4/h1H,(H3,6,7,8,9,10,11)",,EX_xan_m,EX_xan(e)
128,cit,10.0,Citrate,HMDB00094,C00158,311.0,"InChI=1S/C6H8O7/c7-3(8)1-6(13,5(11)12)2-4(9)10/h13H,1-2H2,(H,7,8)(H,9,10)(H,11,12)/p-3",,EX_cit_m,EX_cit(e)
129,ade,1.1984117399095486,Adenine,HMDB00034,C00147,190.0,"InChI=1S/C5H5N5/c6-4-3-5(9-1-7-3)10-2-8-4/h1-2H,(H3,6,7,8,9,10)",,EX_ade_m,EX_ade(e)
130,orot,0.001928279999997784,Orotate,HMDB00226,C00295,967.0,"InChI=1S/C5H4N2O4/c8-3-1-2(4(9)10)6-5(11)7-3/h1H,(H,9,10)(H2,6,7,8,11)/p-1",,EX_orot_m,EX_orot(e)
131,h2s,10.0,Hydrogen sulfide,,,,,,EX_h2s_m,EX_h2s(e)
132,strch1,10.0,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})",,,,,,EX_strch1_m,EX_strch1(e)
133,malthx,10.0,Maltohexaose,HMDB12253,C01936,439606.0,,,EX_malthx_m,EX_malthx(e)
134,gln_L,10.0,L-glutamine,HMDB00641,C00064,5961.0,"InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)/t3-/m0/s1",,EX_gln_L_m,EX_gln_L(e)
135,gsn,10.0,Guanosine,HMDB00133,C00387,6802.0,,,EX_gsn_m,EX_gsn(e)
136,h,10.0,proton,HMDB01362,C00282,1038.0,InChI=1S/p+1/i/hH,,EX_h_m,EX_h(e)
137,lanost,0.00017150249999984402,lanosterol,HMDB01251,C01724,246983.0,,,EX_lanost_m,EX_lanost(e)
138,malt,10.000000000000004,Maltose,HMDB00163,C00208,439186.0,,,EX_malt_m,EX_malt(e)
139,mantr,10.0,"mannotriose (beta-1,4)",,,,,,EX_mantr_m,EX_mantr(e)
140,asp_L,10.0,L-aspartate(1-),HMDB00191,C00049,5960.0,"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)/p-1/t2-/m0/s1",,EX_asp_L_m,EX_asp_L(e)
141,chor,9.146262165322636,chorismate,,,,,,EX_chor_m,EX_chor(e)
142,lys_L,10.0,L-lysinium(1+),HMDB00182,C00047,5962.0,"InChI=1S/C6H14N2O2/c7-4-2-1-3-5(8)6(9)10/h5H,1-4,7-8H2,(H,9,10)/p+1/t5-/m0/s1",,EX_lys_L_m,EX_lys_L(e)
143,acgam,10.0,N-acetyl-D-glucosamine,HMDB00215,C00140,439174.0,"InChI=1S/C8H15NO6/c1-4(12)9-5(2-10)7(14)8(15)6(13)3-11/h2,5-8,11,13-15H,3H2,1H3,(H,9,12)/t5-,6+,7+,8+/m0/s1",,EX_acgam_m,EX_acgam(e)
144,gam,10.0,D-Glucosamine,HMDB01514,C00329,439213.0,,,EX_gam_m,EX_gam(e)
145,ala_L,10.0,L-alanine,HMDB00161,C00041,5950.0,"InChI=1S/C3H7NO2/c1-2(4)3(5)6/h2H,4H2,1H3,(H,5,6)/t2-/m0/s1",,EX_ala_L_m,EX_ala_L(e)
146,stys,10.0,Stachyose,,,,,,EX_stys_m,EX_stys(e)
147,HC00319,0.023334131000806075,Malonate,HMDB00691,C00383,867.0,"InChI=1S/C3H4O4/c4-2(5)1-3(6)7/h1H2,(H,4,5)(H,6,7)",,EX_HC00319_m,EX_HC00319(e)
148,ac,8.148270994529863,acetate,HMDB00042,C00033,176.0,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",,EX_ac_m,EX_ac(e)
149,gly,10.0,Glycine,HMDB00123,C00037,750.0,"InChI=1S/C2H5NO2/c3-1-2(4)5/h1,3H2,(H,4,5)",,EX_gly_m,EX_gly(e)
150,for,10.0,Formate,HMDB00142,C00058,284.0,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",,EX_for_m,EX_for(e)
151,sucbz,0.3198541599180897,o-Succinylbenzoate,,,,,,EX_sucbz_m,EX_sucbz(e)
152,lactl,10.0,,,,,,,EX_lactl_m,EX_lactl(e)
153,pro_L,10.0,L-proline,HMDB00162,C00148,145742.0,"InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)/t4-/m0/s1",,EX_pro_L_m,EX_pro_L(e)
154,gal,10.0,D-Galactose,HMDB00143,C00984,439357.0,,,EX_gal_m,EX_gal(e)
155,glycys,10.0,Gly-Cys,,,,,,EX_glycys_m,EX_glycys(e)
156,arab_D,7.351338714172314,D-Arabinose,,,,,,EX_arab_D_m,EX_arab_D(e)
157,succ,10.0,Succinate,HMDB00254,C00042,1110.0,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",,EX_succ_m,EX_succ(e)
158,g6p,10.0,D-Glucose 6-phosphate,HMDB01401,C00092,5958.0,,,EX_g6p_m,EX_g6p(e)
159,fum,10.0,Fumarate,HMDB00134,C00122,444972.0,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/p-2/b2-1+",,EX_fum_m,EX_fum(e)
160,dhna,0.003469728999996845,"1,4-Dihydroxy-2-naphthoate",,,,,,EX_dhna_m,EX_dhna(e)
161,akg,5.9710846080670406,2-Oxoglutarate,HMDB00208,C00026,51.0,"InChI=1S/C5H6O5/c6-3(5(9)10)1-2-4(7)8/h1-2H2,(H,7,8)(H,9,10)/p-2",,EX_akg_m,EX_akg(e)
162,mnl,4.485858193591015,D-Mannitol,,,,,,EX_mnl_m,EX_mnl(e)
163,mal_L,10.0,(S)-malate(2-),HMDB00156,C00149,222656.0,"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)/p-2/t2-/m0/s1",,EX_mal_L_m,EX_mal_L(e)
164,cellb,10.000000000000002,cellobiose,,,,,,EX_cellb_m,EX_cellb(e)
