,metabolite,flux,name,hmdb,kegg.compound,pubchem.compound,inchi,chebi,reaction,global_id
85,4hbz,0.0008701293636355723,4-hydroxybenzoate,HMDB00500,C00156,,"InChI=1S/C7H6O3/c8-6-3-1-5(2-4-6)7(9)10/h1-4,8H,(H,9,10)/p-1",,EX_4hbz_m,EX_4hbz(e)
86,cgly,10.0,L-cysteinylglycine,HMDB00078,C01419,439498.0,"InChI=1S/C5H10N2O3S/c6-3(2-11)5(10)7-1-4(8)9/h3,11H,1-2,6H2,(H,7,10)(H,8,9)/t3-/m0/s1",,EX_cgly_m,EX_cgly(e)
87,cl,0.00020023999999981787,Chloride,HMDB00492,C00698,312.0,InChI=1S/ClH/h1H/p-1,,EX_cl_m,EX_cl(e)
88,cobalt2,0.00020023999999985165,Co2+,,,,,,EX_cobalt2_m,EX_cobalt2(e)
89,mqn7,0.00015879400007179356,Menaquinone 7,,C00828,4086.0,,,EX_mqn7_m,EX_mqn7(e)
90,nmn,10.0,NMN,HMDB00229,C00455,14180.0,,,EX_nmn_m,EX_nmn(e)
91,pheme,7.939699999992778e-05,Protoheme,HMDB03178,C00032,,,,EX_pheme_m,EX_pheme(e)
92,sheme,7.939699999992778e-05,Siroheme,,,,,,EX_sheme_m,EX_sheme(e)
93,so4,0.1321501410891912,sulfate,HMDB01448,C00059,1118.0,"InChI=1S/H2O4S/c1-5(2,3)4/h(H2,1,2,3,4)/p-2",,EX_so4_m,EX_so4(e)
94,spmd,7.939699999992782e-05,Spermidine,HMDB01257,C00315,1102.0,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2/p+3",,EX_spmd_m,EX_spmd(e)
95,thymd,0.00047927999999956416,Thymidine,HMDB00273,C00214,5789.0,"InChI=1S/C10H14N2O5/c1-5-3-12(10(16)11-9(5)15)8-2-6(14)7(4-13)17-8/h3,6-8,13-14H,2,4H2,1H3,(H,11,15,16)/t6-,7+,8+/m0/s1",,EX_thymd_m,EX_thymd(e)
96,glyasp,10.0,Glycyl-L-aspartate,,,,,,EX_glyasp_m,EX_glyasp(e)
97,glycys,10.0,Gly-Cys,,,,,,EX_glycys_m,EX_glycys(e)
98,succ,0.04206586791256761,Succinate,HMDB00254,C00042,1110.0,"InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)/p-2",,EX_succ_m,EX_succ(e)
99,ura,0.4390439487983606,uracil,HMDB00300,C00106,1174.0,"InChI=1S/C4H4N2O2/c7-3-1-2-5-4(8)6-3/h1-2H,(H2,5,6,7,8)",,EX_ura_m,EX_ura(e)
100,12dgr180,0.009402212999991449,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)",,,,,,EX_12dgr180_m,EX_12dgr180(e)
101,asn_L,10.0,L-asparagine,HMDB00168,C00152,6267.0,"InChI=1S/C4H8N2O3/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H2,6,7)(H,8,9)/t2-/m0/s1",,EX_asn_L_m,EX_asn_L(e)
102,csn,10.0,cytosine,HMDB00630,C00380,597.0,"InChI=1S/C4H5N3O/c5-3-1-2-6-4(8)7-3/h1-2H,(H3,5,6,7,8)",,EX_csn_m,EX_csn(e)
103,ins,10.0,Inosine,HMDB00195,C00294,6021.0,,,EX_ins_m,EX_ins(e)
104,no3,10.0,Nitrate,,,,,,EX_no3_m,EX_no3(e)
105,ptrc,0.009907939998582194,Putrescine,HMDB01414,C00134,1045.0,InChI=1S/C4H12N2/c5-3-1-2-4-6/h1-6H2/p+2,,EX_ptrc_m,EX_ptrc(e)
106,glygln,10.0,Glycyl-L-glutamine,,,,,,EX_glygln_m,EX_glygln(e)
107,hxan,0.739634418157542,Hypoxanthine,HMDB00157,C00262,790.0,"InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)",,EX_hxan_m,EX_hxan(e)
108,mqn8,0.0001587940000007393,Menaquinone 8,,C00828,4086.0,,,EX_mqn8_m,EX_mqn8(e)
109,rib_D,10.000000000016456,D-ribose,HMDB00283,C00121,5779.0,,,EX_rib_D_m,EX_rib_D(e)
110,alagln,10.0,L-alanyl-L-glutamine,,,,,,EX_alagln_m,EX_alagln(e)
111,glyasn,10.0,Glycyl-L-asparagine,,,,,,EX_glyasn_m,EX_glyasn(e)
112,gthox,0.0004271824999996119,Oxidized glutathione,HMDB03337,C00127,65359.0,,,EX_gthox_m,EX_gthox(e)
